1044
0	0 0
4095	1 12	0,5 0,6 1,5 1,6 2,5 2,6 3,4 3,5 3,6 4,5 4,6 5,6
6543	0 8	2,4 2,5 2,6 3,4 3,5 3,6 4,6 5,6
6549	0 7	1,6 2,4 2,5 3,4 3,5 3,6 5,6
6551	0 8	1,6 2,4 2,5 3,4 3,5 3,6 4,6 5,6
6559	0 9	1,6 2,4 2,5 2,6 3,4 3,5 3,6 4,6 5,6
6576	0 6	0,6 1,6 2,4 2,5 3,4 3,5
6577	1 7	0,6 1,6 2,4 2,5 3,4 3,5 5,6
6579	1 8	0,6 1,6 2,4 2,5 3,4 3,5 4,6 5,6
6581	1 8	0,6 1,6 2,4 2,5 3,4 3,5 3,6 5,6
6583	1 9	0,6 1,6 2,4 2,5 3,4 3,5 3,6 4,6 5,6
6591	1 10	0,6 1,6 2,4 2,5 2,6 3,4 3,5 3,6 4,6 5,6
6607	0 9	2,4 2,5 2,6 3,4 3,5 3,6 4,5 4,6 5,6
6612	0 7	1,6 2,4 2,5 3,4 3,5 3,6 4,5
6613	0 8	1,6 2,4 2,5 3,4 3,5 3,6 4,5 5,6
6615	0 9	1,6 2,4 2,5 3,4 3,5 3,6 4,5 4,6 5,6
6620	0 8	1,6 2,4 2,5 2,6 3,4 3,5 3,6 4,5
6621	0 9	1,6 2,4 2,5 2,6 3,4 3,5 3,6 4,5 5,6
6623	0 10	1,6 2,4 2,5 2,6 3,4 3,5 3,6 4,5 4,6 5,6
6640	0 7	0,6 1,6 2,4 2,5 3,4 3,5 4,5
6641	1 8	0,6 1,6 2,4 2,5 3,4 3,5 4,5 5,6
6643	1 9	0,6 1,6 2,4 2,5 3,4 3,5 4,5 4,6 5,6
6644	1 8	0,6 1,6 2,4 2,5 3,4 3,5 3,6 4,5
6645	1 9	0,6 1,6 2,4 2,5 3,4 3,5 3,6 4,5 5,6
6647	1 10	0,6 1,6 2,4 2,5 3,4 3,5 3,6 4,5 4,6 5,6
6652	1 9	0,6 1,6 2,4 2,5 2,6 3,4 3,5 3,6 4,5
6653	1 10	0,6 1,6 2,4 2,5 2,6 3,4 3,5 3,6 4,5 5,6
6655	1 11	0,6 1,6 2,4 2,5 2,6 3,4 3,5 3,6 4,5 4,6 5,6
6808	0 6	1,5 1,6 2,4 2,6 3,4 3,5
6809	0 7	1,5 1,6 2,4 2,6 3,4 3,5 5,6
6811	0 8	1,5 1,6 2,4 2,6 3,4 3,5 4,6 5,6
6812	0 7	1,5 1,6 2,4 2,6 3,4 3,5 3,6
6813	0 8	1,5 1,6 2,4 2,6 3,4 3,5 3,6 5,6
6815	0 9	1,5 1,6 2,4 2,6 3,4 3,5 3,6 4,6 5,6
6820	1 6	0,6 1,5 2,4 3,4 3,5 3,6
6821	1 7	0,6 1,5 2,4 3,4 3,5 3,6 5,6
6823	1 8	0,6 1,5 2,4 3,4 3,5 3,6 4,6 5,6
6824	1 6	0,6 1,5 2,4 2,6 3,4 3,5
6825	1 7	0,6 1,5 2,4 2,6 3,4 3,5 5,6
6826	1 7	0,6 1,5 2,4 2,6 3,4 3,5 4,6
6827	1 8	0,6 1,5 2,4 2,6 3,4 3,5 4,6 5,6
6828	1 7	0,6 1,5 2,4 2,6 3,4 3,5 3,6
6829	1 8	0,6 1,5 2,4 2,6 3,4 3,5 3,6 5,6
6830	1 8	0,6 1,5 2,4 2,6 3,4 3,5 3,6 4,6
6831	1 9	0,6 1,5 2,4 2,6 3,4 3,5 3,6 4,6 5,6
6840	1 7	0,6 1,5 1,6 2,4 2,6 3,4 3,5
6841	1 8	0,6 1,5 1,6 2,4 2,6 3,4 3,5 5,6
6843	1 9	0,6 1,5 1,6 2,4 2,6 3,4 3,5 4,6 5,6
6844	1 8	0,6 1,5 1,6 2,4 2,6 3,4 3,5 3,6
6845	1 9	0,6 1,5 1,6 2,4 2,6 3,4 3,5 3,6 5,6
6847	1 10	0,6 1,5 1,6 2,4 2,6 3,4 3,5 3,6 4,6 5,6
6875	0 9	1,5 1,6 2,4 2,6 3,4 3,5 4,5 4,6 5,6
6876	0 8	1,5 1,6 2,4 2,6 3,4 3,5 3,6 4,5
6877	0 9	1,5 1,6 2,4 2,6 3,4 3,5 3,6 4,5 5,6
6879	0 10	1,5 1,6 2,4 2,6 3,4 3,5 3,6 4,5 4,6 5,6
6887	1 9	0,6 1,5 2,4 3,4 3,5 3,6 4,5 4,6 5,6
6890	1 8	0,6 1,5 2,4 2,6 3,4 3,5 4,5 4,6
6891	1 9	0,6 1,5 2,4 2,6 3,4 3,5 4,5 4,6 5,6
6892	1 8	0,6 1,5 2,4 2,6 3,4 3,5 3,6 4,5
6893	1 9	0,6 1,5 2,4 2,6 3,4 3,5 3,6 4,5 5,6
6894	1 9	0,6 1,5 2,4 2,6 3,4 3,5 3,6 4,5 4,6
6895	1 10	0,6 1,5 2,4 2,6 3,4 3,5 3,6 4,5 4,6 5,6
6904	1 8	0,6 1,5 1,6 2,4 2,6 3,4 3,5 4,5
6905	1 9	0,6 1,5 1,6 2,4 2,6 3,4 3,5 4,5 5,6
6907	1 10	0,6 1,5 1,6 2,4 2,6 3,4 3,5 4,5 4,6 5,6
6908	1 9	0,6 1,5 1,6 2,4 2,6 3,4 3,5 3,6 4,5
6909	1 10	0,6 1,5 1,6 2,4 2,6 3,4 3,5 3,6 4,5 5,6
6911	1 11	0,6 1,5 1,6 2,4 2,6 3,4 3,5 3,6 4,5 4,6 5,6
7068	0 8	1,5 1,6 2,4 2,5 2,6 3,4 3,5 3,6
7069	0 9	1,5 1,6 2,4 2,5 2,6 3,4 3,5 3,6 5,6
7070	0 9	1,5 1,6 2,4 2,5 2,6 3,4 3,5 3,6 4,6
7071	0 10	1,5 1,6 2,4 2,5 2,6 3,4 3,5 3,6 4,6 5,6
7084	1 8	0,6 1,5 2,4 2,5 2,6 3,4 3,5 3,6
7085	1 9	0,6 1,5 2,4 2,5 2,6 3,4 3,5 3,6 5,6
7086	1 9	0,6 1,5 2,4 2,5 2,6 3,4 3,5 3,6 4,6
7087	1 10	0,6 1,5 2,4 2,5 2,6 3,4 3,5 3,6 4,6 5,6
7088	1 7	0,6 1,5 1,6 2,4 2,5 3,4 3,5
7089	1 8	0,6 1,5 1,6 2,4 2,5 3,4 3,5 5,6
7090	1 8	0,6 1,5 1,6 2,4 2,5 3,4 3,5 4,6
7091	1 9	0,6 1,5 1,6 2,4 2,5 3,4 3,5 4,6 5,6
7092	1 8	0,6 1,5 1,6 2,4 2,5 3,4 3,5 3,6
7093	1 9	0,6 1,5 1,6 2,4 2,5 3,4 3,5 3,6 5,6
7094	1 9	0,6 1,5 1,6 2,4 2,5 3,4 3,5 3,6 4,6
7095	1 10	0,6 1,5 1,6 2,4 2,5 3,4 3,5 3,6 4,6 5,6
7100	1 9	0,6 1,5 1,6 2,4 2,5 2,6 3,4 3,5 3,6
7101	1 10	0,6 1,5 1,6 2,4 2,5 2,6 3,4 3,5 3,6 5,6
7102	1 10	0,6 1,5 1,6 2,4 2,5 2,6 3,4 3,5 3,6 4,6
7103	1 11	0,6 1,5 1,6 2,4 2,5 2,6 3,4 3,5 3,6 4,6 5,6
7134	0 10	1,5 1,6 2,4 2,5 2,6 3,4 3,5 3,6 4,5 4,6
7135	0 11	1,5 1,6 2,4 2,5 2,6 3,4 3,5 3,6 4,5 4,6 5,6
7150	1 10	0,6 1,5 2,4 2,5 2,6 3,4 3,5 3,6 4,5 4,6
7151	1 11	0,6 1,5 2,4 2,5 2,6 3,4 3,5 3,6 4,5 4,6 5,6
7152	1 8	0,6 1,5 1,6 2,4 2,5 3,4 3,5 4,5
7153	1 9	0,6 1,5 1,6 2,4 2,5 3,4 3,5 4,5 5,6
7154	1 9	0,6 1,5 1,6 2,4 2,5 3,4 3,5 4,5 4,6
7155	1 10	0,6 1,5 1,6 2,4 2,5 3,4 3,5 4,5 4,6 5,6
7156	1 9	0,6 1,5 1,6 2,4 2,5 3,4 3,5 3,6 4,5
7157	1 10	0,6 1,5 1,6 2,4 2,5 3,4 3,5 3,6 4,5 5,6
7158	1 10	0,6 1,5 1,6 2,4 2,5 3,4 3,5 3,6 4,5 4,6
7159	1 11	0,6 1,5 1,6 2,4 2,5 3,4 3,5 3,6 4,5 4,6 5,6
7164	1 10	0,6 1,5 1,6 2,4 2,5 2,6 3,4 3,5 3,6 4,5
7165	1 11	0,6 1,5 1,6 2,4 2,5 2,6 3,4 3,5 3,6 4,5 5,6
7166	1 11	0,6 1,5 1,6 2,4 2,5 2,6 3,4 3,5 3,6 4,5 4,6
7167	1 12	0,6 1,5 1,6 2,4 2,5 2,6 3,4 3,5 3,6 4,5 4,6 5,6
7740	1 8	0,5 0,6 1,5 1,6 2,4 2,6 3,4 3,6
7741	1 9	0,5 0,6 1,5 1,6 2,4 2,6 3,4 3,6 5,6
